sales_brand,sales_series,sales_model_samples,sales_volume,canonical_brand,canonical_series,entity_key,join_eligible,sales_source_ref,sales_key_fields,config_source_ref,config_key_fields,status,method,confidence,candidate_series,evidence
比亚迪,驱逐舰05,驱逐舰05,21411,比亚迪,驱逐舰05,比亚迪::驱逐舰05,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""驱逐舰05""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""驱逐舰05""}",auto_matched,series_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系经 Unicode、大小写、空格和标点归一后，与同品牌配置车系精确一致。
比亚迪,比亚迪海鸥,比亚迪海鸥,8467,比亚迪,海鸥,比亚迪::海鸥,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪海鸥""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""海鸥""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪E2,比亚迪E2,3409,比亚迪,比亚迪e2,比亚迪::比亚迪e2,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪E2""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""比亚迪e2""}",auto_matched,series_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系经 Unicode、大小写、空格和标点归一后，与同品牌配置车系精确一致。
比亚迪,比亚迪宋MAX,比亚迪宋MAX,3258,比亚迪,宋MAX,比亚迪::宋max,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪宋MAX""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""宋MAX""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪E3,比亚迪E3,2995,比亚迪,比亚迪e3,比亚迪::比亚迪e3,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪E3""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""比亚迪e3""}",auto_matched,series_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系经 Unicode、大小写、空格和标点归一后，与同品牌配置车系精确一致。
比亚迪,比亚迪E6,比亚迪E6,1652,比亚迪,比亚迪e6,比亚迪::比亚迪e6,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪E6""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""比亚迪e6""}",auto_matched,series_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系经 Unicode、大小写、空格和标点归一后，与同品牌配置车系精确一致。
比亚迪,比亚迪D1,比亚迪D1,514,比亚迪,比亚迪D1,比亚迪::比亚迪d1,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪D1""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""比亚迪D1""}",auto_matched,series_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系经 Unicode、大小写、空格和标点归一后，与同品牌配置车系精确一致。
比亚迪,比亚迪元,比亚迪元,108,比亚迪,,,False,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪元""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": null}",unmatched,series_unresolved,0.0,[],品牌规则：brand_normalized_exact | 同品牌配置车系中不存在归一化精确匹配，且没有足够接近的候选。
比亚迪,比亚迪秦Pro,比亚迪秦Pro,30,比亚迪,秦Pro,比亚迪::秦pro,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪秦Pro""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""秦Pro""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪E1,比亚迪E1,25,比亚迪,,,False,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪E1""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": null}",unmatched,series_unresolved,0.0,[],品牌规则：brand_normalized_exact | 同品牌配置车系中不存在归一化精确匹配，且没有足够接近的候选。
比亚迪,比亚迪F3,比亚迪F3,20,比亚迪,比亚迪F3,比亚迪::比亚迪f3,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪F3""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""比亚迪F3""}",auto_matched,series_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系经 Unicode、大小写、空格和标点归一后，与同品牌配置车系精确一致。
比亚迪,比亚迪宋,比亚迪宋,17,比亚迪,宋,比亚迪::宋,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪宋""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""宋""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪S2,比亚迪S2,12,比亚迪,,,False,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪S2""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": null}",unmatched,series_unresolved,0.0,[],品牌规则：brand_normalized_exact | 同品牌配置车系中不存在归一化精确匹配，且没有足够接近的候选。
比亚迪,比亚迪E5,比亚迪E5,6,比亚迪,,,False,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪E5""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": null}",unmatched,series_unresolved,0.0,[],品牌规则：brand_normalized_exact | 同品牌配置车系中不存在归一化精确匹配，且没有足够接近的候选。
比亚迪,比亚迪F0,比亚迪F0,3,比亚迪,,,False,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪F0""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": null}",unmatched,series_unresolved,0.0,[],品牌规则：brand_normalized_exact | 同品牌配置车系中不存在归一化精确匹配，且没有足够接近的候选。
比亚迪,比亚迪M3,比亚迪M3,1,比亚迪,,,False,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪M3""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": null}",unmatched,series_unresolved,0.0,[],品牌规则：brand_normalized_exact | 同品牌配置车系中不存在归一化精确匹配，且没有足够接近的候选。
比亚迪,比亚迪商,比亚迪商,1,比亚迪,,,False,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪商""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": null}",unmatched,series_unresolved,0.0,[],品牌规则：brand_normalized_exact | 同品牌配置车系中不存在归一化精确匹配，且没有足够接近的候选。
